Gene1,Gene1_Chromosome,Gene1_Start,Gene1_End,Gene1_Bin,Gene2,Gene2_Chromosome,Gene2_Start,Gene2_End,Gene2_Bin,HiC_Interaction,Gene1_Time_-4.5,Gene2_Time_-4.5,Gene1_Time_0.5,Gene2_Time_0.5,Gene1_Time_1.0,Gene2_Time_1.0,Gene1_Time_1.5,Gene2_Time_1.5,Gene1_Time_2.0,Gene2_Time_2.0,Gene1_Time_2.5,Gene2_Time_2.5,Gene1_Time_3.0,Gene2_Time_3.0,Gene1_Time_3.5,Gene2_Time_3.5,Gene1_Time_4.0,Gene2_Time_4.0,Gene1_Time_4.5,Gene2_Time_4.5,Gene1_Time_5.0,Gene2_Time_5.0,Gene1_Time_5.5,Gene2_Time_5.5,Gene1_Time_6.0,Gene2_Time_6.0,Gene1_Time_6.5,Gene2_Time_6.5,Gene1_Time_7.0,Gene2_Time_7.0,Gene1_Time_7.5,Gene2_Time_7.5,Gene1_Time_8.0,Gene2_Time_8.0,Gene1_Time_8.5,Gene2_Time_8.5,Gene1_Time_9.0,Gene2_Time_9.0,Gene1_Time_9.5,Gene2_Time_9.5,Gene1_Time_10.0,Gene2_Time_10.0,Gene1_Time_10.5,Gene2_Time_10.5,Gene1_Time_11.0,Gene2_Time_11.0,Gene1_Time_11.5,Gene2_Time_11.5,Gene1_Time_12.0,Gene2_Time_12.0,Gene1_Time_12.5,Gene2_Time_12.5,Gene1_Time_13.0,Gene2_Time_13.0,Gene1_Time_13.5,Gene2_Time_13.5,Gene1_Time_14.0,Gene2_Time_14.0,Gene1_Time_15.0,Gene2_Time_15.0,Gene1_Time_16.0,Gene2_Time_16.0,Gene1_Time_17.0,Gene2_Time_17.0,Gene1_Time_18.0,Gene2_Time_18.0,Gene1_Time_19.0,Gene2_Time_19.0,Gene1_Time_20.0,Gene2_Time_20.0,Gene1_Time_21.0,Gene2_Time_21.0,Gene1_Time_22.0,Gene2_Time_22.0,Gene1_Time_23.0,Gene2_Time_23.0,Gene1_Time_24.0,Gene2_Time_24.0,Gene1_Time_25.0,Gene2_Time_25.0,Gene1_Time_26.0,Gene2_Time_26.0,Gene1_Time_27.0,Gene2_Time_27.0,Gene1_Time_28.0,Gene2_Time_28.0,Gene1_Compartment,Gene2_Compartment,Gene1_Insulation_Score,Gene2_Insulation_Score,Gene1_TAD_Boundary_Distance,Gene2_TAD_Boundary_Distance
ABCA3,17,24570924.0,24629175.0,24000000.0,ABCA3,17,24570924.0,24629175.0,24000000.0,2288.0029,7.627285714285714,7.627285714285714,8.189,8.189,8.53575,8.53575,8.363,8.363,8.7666,8.7666,8.44325,8.44325,8.0104,8.0104,7.7755,7.7755,8.34825,8.34825,8.1025,8.1025,7.74925,7.74925,8.09875,8.09875,8.4365,8.4365,8.477,8.477,8.206199999999999,8.206199999999999,7.7135,7.7135,8.002500000000001,8.002500000000001,8.221250000000001,8.221250000000001,8.1205,8.1205,7.37525,7.37525,8.0735,8.0735,8.24525,8.24525,8.17175,8.17175,8.26625,8.26625,8.350000000000001,8.350000000000001,8.473500000000001,8.473500000000001,8.528500000000001,8.528500000000001,7.050333333333334,7.050333333333334,8.26575,8.26575,8.382000000000001,8.382000000000001,8.2335,8.2335,8.60025,8.60025,8.7195,8.7195,8.579500000000001,8.579500000000001,8.546999999999999,8.546999999999999,8.719750000000001,8.719750000000001,8.35725,8.35725,8.5275,8.5275,8.77675,8.77675,8.9605,8.9605,8.84875,8.84875,9.049,9.049,8.982,8.982,B,B,0.4477330244142255,0.4477330244142255,3.0,3.0
ABCA3,17,24570924.0,24629175.0,24000000.0,AGER,17,34816836.0,34819910.0,34000000.0,116.5836,7.627285714285714,9.043571428571427,8.189,12.12725,8.53575,11.7425,8.363,12.381,8.7666,12.381,8.44325,12.381,8.0104,12.381,7.7755,12.381,8.34825,12.381,8.1025,12.381,7.74925,12.381,8.09875,12.381,8.4365,12.25275,8.477,12.381,8.206199999999999,12.0732,7.7135,12.381,8.002500000000001,12.1245,8.221250000000001,12.25275,8.1205,11.996250000000002,7.37525,11.638000000000002,8.0735,11.868,8.24525,11.99625,8.17175,11.996250000000002,8.26625,11.996250000000002,8.350000000000001,11.868,8.473500000000001,12.1245,8.528500000000001,12.1245,7.050333333333334,12.21,8.26575,11.996250000000002,8.382000000000001,12.381,8.2335,12.25275,8.60025,12.25275,8.7195,12.381,8.579500000000001,12.25275,8.546999999999999,12.381,8.719750000000001,12.381,8.35725,12.381,8.5275,12.381,8.77675,12.381,8.9605,12.381,8.84875,12.381,9.049,12.381,8.982,12.381,B,B,0.4477330244142255,0.345387023172346,3.0,0.0
ABCA3,17,24570924.0,24629175.0,24000000.0,NME3,17,25115474.0,25116496.0,25000000.0,491.0158,7.627285714285714,6.972857142857142,8.189,6.44075,8.53575,6.1445,8.363,6.497,8.7666,6.4338,8.44325,6.268000000000001,8.0104,6.6354,7.7755,6.0775,8.34825,6.68275,8.1025,6.46,7.74925,6.48275,8.09875,6.782,8.4365,6.2145,8.477,6.525,8.206199999999999,6.617400000000001,7.7135,7.214,8.002500000000001,6.7627500000000005,8.221250000000001,6.923500000000001,8.1205,7.0715,7.37525,6.4425,8.0735,6.727499999999999,8.24525,6.26125,8.17175,7.03925,8.26625,6.8115000000000006,8.350000000000001,6.68075,8.473500000000001,6.90025,8.528500000000001,6.9475,7.050333333333334,6.866666666666667,8.26575,6.7867500000000005,8.382000000000001,6.810499999999999,8.2335,6.717,8.60025,7.0512500000000005,8.7195,7.039,8.579500000000001,7.11325,8.546999999999999,6.866333333333333,8.719750000000001,6.8637500000000005,8.35725,7.13175,8.5275,6.5965,8.77675,7.00325,8.9605,6.8465,8.84875,6.708500000000001,9.049,6.898249999999999,8.982,6.74025,B,B,0.4477330244142255,0.3242466672592482,3.0,2.0
ABCA3,17,24570924.0,24629175.0,24000000.0,RAGE,17,34816836.0,34819910.0,34000000.0,116.5836,7.627285714285714,4.922142857142857,8.189,5.762,8.53575,6.0735,8.363,5.765,8.7666,5.7526,8.44325,5.2045,8.0104,5.3942,7.7755,4.4715,8.34825,5.162750000000001,8.1025,4.798,7.74925,4.10975,8.09875,5.2555,8.4365,4.58825,8.477,4.65225,8.206199999999999,4.593,7.7135,5.6325,8.002500000000001,4.87275,8.221250000000001,4.5585,8.1205,4.41525,7.37525,4.90325,8.0735,4.1215,8.24525,5.415000000000001,8.17175,3.70775,8.26625,3.981,8.350000000000001,4.05225,8.473500000000001,3.82725,8.528500000000001,4.5005,7.050333333333334,4.695,8.26575,4.78525,8.382000000000001,4.482,8.2335,4.114,8.60025,3.9162500000000007,8.7195,4.097,8.579500000000001,4.458,8.546999999999999,5.1113333333333335,8.719750000000001,4.095750000000001,8.35725,4.173,8.5275,3.7325,8.77675,4.4695,8.9605,4.150500000000001,8.84875,4.38775,9.049,3.99075,8.982,4.81275,B,B,0.4477330244142255,0.345387023172346,3.0,0.0
ABCA3,17,24570924.0,24629175.0,24000000.0,tbp,17,15720150.0,15748641.0,15000000.0,57.5146,7.627285714285714,6.155428571428572,8.189,4.82225,8.53575,5.3275,8.363,5.3775,8.7666,5.684399999999999,8.44325,5.20825,8.0104,5.9256,7.7755,5.633249999999999,8.34825,5.6075,8.1025,5.759,7.74925,6.0545,8.09875,4.9670000000000005,8.4365,5.5752500000000005,8.477,5.892,8.206199999999999,5.772799999999999,7.7135,6.4715,8.002500000000001,5.03125,8.221250000000001,4.98975,8.1205,5.514,7.37525,5.73075,8.0735,5.908,8.24525,4.91975,8.17175,6.351249999999999,8.26625,6.03975,8.350000000000001,5.71425,8.473500000000001,6.049,8.528500000000001,6.18075,7.050333333333334,6.136,8.26575,6.04425,8.382000000000001,6.20025,8.2335,6.2905,8.60025,6.154,8.7195,6.2255,8.579500000000001,6.29025,8.546999999999999,5.797333333333333,8.719750000000001,6.1857500000000005,8.35725,5.9262500000000005,8.5275,6.4215,8.77675,6.0025,8.9605,6.21775,8.84875,6.4662500000000005,9.049,6.23225,8.982,6.0825000000000005,B,A,0.4477330244142255,0.5271793583398797,3.0,1.0
ABCA3,17,24570924.0,24629175.0,24000000.0,Vegf,17,46327919.0,46343295.0,46000000.0,51.9935,7.627285714285714,7.298571428571428,8.189,7.285749999999999,8.53575,7.464,8.363,8.794,8.7666,8.6684,8.44325,8.874,8.0104,7.7628,7.7755,7.73875,8.34825,8.8705,8.1025,9.1915,7.74925,8.73625,8.09875,8.33125,8.4365,8.5875,8.477,8.8765,8.206199999999999,9.3536,7.7135,8.161,8.002500000000001,8.8215,8.221250000000001,8.939499999999999,8.1205,9.23925,7.37525,8.373750000000001,8.0735,8.805250000000001,8.24525,8.072999999999999,8.17175,9.42775,8.26625,9.28625,8.350000000000001,9.3425,8.473500000000001,9.8825,8.528500000000001,9.60225,7.050333333333334,9.153,8.26575,9.2295,8.382000000000001,9.55225,8.2335,9.61475,8.60025,10.16975,8.7195,9.909,8.579500000000001,10.06425,8.546999999999999,9.655,8.719750000000001,10.22725,8.35725,9.665499999999998,8.5275,10.3505,8.77675,10.05775,8.9605,10.303999999999998,8.84875,10.234749999999998,9.049,10.22725,8.982,10.11025,B,B,0.4477330244142255,-1.937407235405162,3.0,7.0
ABCD1,X,72760203.0,72782140.0,72000000.0,ABCD1,X,72760203.0,72782140.0,72000000.0,73.4922,6.002714285714285,6.002714285714285,6.617,6.617,5.284,5.284,7.4505,7.4505,6.2234,6.2234,6.083500000000001,6.083500000000001,6.0282,6.0282,5.78475,5.78475,6.12825,6.12825,6.1705,6.1705,5.8685,5.8685,6.431500000000001,6.431500000000001,5.9675,5.9675,6.23925,6.23925,6.51,6.51,6.576499999999999,6.576499999999999,5.900499999999999,5.900499999999999,6.5355,6.5355,6.076,6.076,7.0535000000000005,7.0535000000000005,6.4745,6.4745,6.0855,6.0855,5.985,5.985,6.2045,6.2045,6.09625,6.09625,6.47475,6.47475,6.2177500000000006,6.2177500000000006,6.559666666666668,6.559666666666668,6.238499999999999,6.238499999999999,6.207,6.207,6.707,6.707,6.73975,6.73975,6.525,6.525,6.532,6.532,6.465333333333334,6.465333333333334,6.59275,6.59275,6.24625,6.24625,6.55025,6.55025,6.593999999999999,6.593999999999999,6.5815,6.5815,6.34375,6.34375,6.56675,6.56675,6.70375,6.70375,B,B,0.6544877153355082,0.6544877153355082,3.0,3.0
ABCD1,X,72760203.0,72782140.0,72000000.0,hprt,X,52077014.0,52110536.0,52000000.0,13.3685,6.002714285714285,6.167714285714285,6.617,6.0935,5.284,6.379,7.4505,5.701499999999999,6.2234,5.4386,6.083500000000001,5.475,6.0282,5.5772,5.78475,5.99975,6.12825,5.8495,6.1705,6.437,5.8685,5.593,6.431500000000001,6.2025,5.9675,5.84075,6.23925,6.266500000000001,6.51,5.914599999999999,6.576499999999999,5.996,5.900499999999999,5.8805000000000005,6.5355,6.19375,6.076,5.90775,7.0535000000000005,6.36175,6.4745,6.50575,6.0855,6.225,5.985,5.91025,6.2045,5.922499999999999,6.09625,5.69575,6.47475,5.7915,6.2177500000000006,6.0305,6.559666666666668,6.580333333333333,6.238499999999999,5.842,6.207,5.83175,6.707,5.827500000000001,6.73975,5.9955,6.525,5.7925,6.532,5.8415,6.465333333333334,5.976333333333333,6.59275,5.95775,6.24625,6.0455000000000005,6.55025,6.4270000000000005,6.593999999999999,5.7867500000000005,6.5815,6.01925,6.34375,5.9535,6.56675,6.02775,6.70375,6.15425,B,B,0.6544877153355082,0.5574202064283025,3.0,4.0
ABCG2,6,58561508.0,58672661.0,58000000.0,ABCG2,6,58561508.0,58672661.0,58000000.0,2335.2409,6.9590000000000005,6.9590000000000005,5.42025,5.42025,6.058999999999999,6.058999999999999,5.314,5.314,5.9778,5.9778,5.6965,5.6965,5.3,5.3,5.9485,5.9485,6.30325,6.30325,6.079750000000001,6.079750000000001,5.91175,5.91175,5.89025,5.89025,6.5655,6.5655,5.492,5.492,5.0268,5.0268,7.368499999999999,7.368499999999999,5.69625,5.69625,6.067,6.067,5.64375,5.64375,6.054,6.054,5.3565000000000005,5.3565000000000005,6.1605,6.1605,5.39625,5.39625,5.649500000000001,5.649500000000001,6.286,6.286,5.55075,5.55075,5.35275,5.35275,6.074000000000001,6.074000000000001,5.63375,5.63375,5.963,5.963,5.956,5.956,5.346,5.346,6.505749999999999,6.505749999999999,5.46575,5.46575,6.504,6.504,6.42575,6.42575,6.1655,6.1655,5.585750000000001,5.585750000000001,6.144,6.144,6.22875,6.22875,6.316749999999999,6.316749999999999,6.217499999999999,6.217499999999999,6.63725,6.63725,B,B,0.26824150226967,0.26824150226967,2.0,2.0
ABCG2,6,58561508.0,58672661.0,58000000.0,HPGDS,6,65094277.0,65121892.0,65000000.0,109.3187,6.9590000000000005,4.611571428571429,5.42025,4.61525,6.058999999999999,4.289,5.314,3.454,5.9778,4.744400000000001,5.6965,4.734,5.3,4.2994,5.9485,4.107,6.30325,4.16425,6.079750000000001,3.846249999999999,5.91175,3.649,5.89025,4.05225,6.5655,3.68,5.492,4.469250000000001,5.0268,4.3164,7.368499999999999,4.480499999999999,5.69625,3.7825,6.067,4.013249999999999,5.64375,3.6625,6.054,4.738,5.3565000000000005,3.706,6.1605,4.780749999999999,5.39625,4.496,5.649500000000001,4.01925,6.286,3.5547500000000003,5.55075,3.38675,5.35275,4.057,6.074000000000001,3.51,5.63375,3.5505000000000004,5.963,3.72525,5.956,4.00225,5.346,4.26275,6.505749999999999,4.071249999999999,5.46575,3.40625,6.504,3.0476666666666667,6.42575,4.2225,6.1655,3.47875,5.585750000000001,3.998,6.144,3.6135,6.22875,3.8825,6.316749999999999,3.68975,6.217499999999999,3.932749999999999,6.63725,3.846,B,B,0.26824150226967,0.4999551508018517,2.0,0.0
